VehicleNumber,Lines,Lat,Lon,Time
2010,25,52.234898,20.98109,2025-01-20 21:04:07
2014,25,52.210445,20.979376,2025-01-20 21:04:16
2016,25,52.24926,21.043488,2025-01-20 21:04:16
2022,22,52.24693,21.058828,2025-01-20 21:04:16
2028,24,52.232006,20.972082,2025-01-20 21:04:14
2030,25,52.22992,20.98478,2025-01-20 21:04:16
2032,23,52.232075,20.968794,2025-01-20 21:04:14
2034,24,52.22915,21.008482,2025-01-20 21:04:18
2038,26,52.232437,20.970459,2025-01-20 21:04:15
2040,26,52.244694,21.084927,2025-01-20 21:04:16
2044,26,52.23192,20.97171,2025-01-20 21:04:13
2050,20,52.247288,20.925636,2025-01-20 21:04:19
2054,1,52.209824,20.98199,2025-01-20 21:04:16
2056,22,52.234165,20.973188,2025-01-20 21:04:14
2062,4,52.16833,21.016474,2025-01-20 21:04:20
2066,20,52.249073,21.021385,2025-01-20 21:04:15
2068,23,52.23186,20.971703,2025-01-20 21:04:13
2070,25,52.231953,20.972107,2025-01-20 21:04:15
2078,4,52.215107,21.020817,2025-01-20 21:04:15
2084,18,52.18882,21.000782,2025-01-20 21:04:14
2090,15,52.235023,21.00889,2025-01-20 21:04:15
2092,18,52.254055,20.997742,2025-01-20 21:04:19
2096,4,52.183212,21.023409,2025-01-20 21:04:13
2100,18,52.181686,20.989067,2025-01-20 21:04:14
2122,10,52.18634,21.000206,2025-01-20 21:04:18
2130,4,52.186382,21.000053,2025-01-20 21:04:17
2134,15,52.186672,21.00018,2025-01-20 21:04:17
2138,1,52.30549,21.02408,2025-01-20 21:04:19
2140,20,52.246845,20.94327,2025-01-20 21:04:18
2144,23,52.26113,20.92602,2025-01-20 21:04:16
2148,25,52.305725,21.02428,2025-01-20 21:04:21
2154,25,52.301353,21.02587,2025-01-20 21:04:20
2158,25,52.30513,21.024748,2025-01-20 21:04:15
2160,4,52.304337,21.025394,2025-01-20 21:04:16
3001,20,52.232304,20.972616,2025-01-20 21:03:11
3002,25,52.237614,21.049068,2025-01-20 21:04:15
3003,7,52.255768,21.052979,2025-01-20 21:04:19
3006,6,52.244366,21.093515,2025-01-20 21:04:19
3011,6,52.254566,21.034948,2025-01-20 21:04:17
3014,28,52.25016,21.0439,2025-01-20 21:04:19
3016,9,52.219162,20.983624,2025-01-20 21:04:17
3017,28,52.257412,20.992552,2025-01-20 21:04:19
3019,25,52.28111,21.02696,2025-01-20 21:04:18
3021,6,52.255653,21.05325,2025-01-20 21:02:32
3022,25,52.257095,21.055273,2025-01-20 21:04:18
3023,22,52.23523,21.037283,2025-01-20 21:04:14
3026,22,52.2454,21.083378,2025-01-20 21:04:17
3028,22,52.24741,21.047024,2025-01-20 21:04:15
3030,6,52.242634,21.10147,2025-01-20 21:03:57
3103,17,52.23442,20.997768,2025-01-20 21:04:18
3106,17,52.200996,21.000675,2025-01-20 21:04:15
3107,15,52.275173,20.980494,2025-01-20 21:04:14
3108,17,52.18499,21.002172,2025-01-20 21:04:16
3110,17,52.185856,21.002026,2025-01-20 21:04:15
3112,15,52.175995,20.943754,2025-01-20 21:04:21
3113,17,52.18822,21.000488,2025-01-20 21:04:17
3116,9,52.244617,21.084927,2025-01-20 21:04:14
3118,7,52.23466,21.034742,2025-01-20 21:04:16
3119,10,52.194447,21.024271,2025-01-20 21:04:16
3121,9,52.234833,21.035654,2025-01-20 21:04:15
3122,1,52.29862,21.022123,2025-01-20 21:04:19
3123,26,52.24601,21.072739,2025-01-20 21:04:15
3125,10,52.2388,20.90052,2025-01-20 21:04:17
3128,17,52.272137,20.972418,2025-01-20 21:04:13
3130,1,52.25624,21.056297,2025-01-20 21:04:16
